region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,year,assumption_no_change,assumption_note
Canary Islands,Prestación Canaria de Inserción,5.0,621.2,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2018,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,5.0,621.2,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2019,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,6.0,646.3,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2017,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,6.0,646.3,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2018,True,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,6.0,646.3,665.13,size_schedule,True,True,,Dato sulla RMI 2017.pdf - Cuadro 2,,ES70,2017,2019,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,1.0,430.27,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2017,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,1.0,430.27,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2018,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,1.0,430.27,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2019,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,2.0,430.27,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2017,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,2.0,430.27,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2018,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,2.0,430.27,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2019,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,3.0,537.84,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2017,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,3.0,537.84,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2018,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,3.0,537.84,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2019,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,4.0,591.63,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2017,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,4.0,591.63,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2018,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,4.0,591.63,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2019,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,5.0,650.79,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2017,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,5.0,650.79,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2018,True,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,5.0,650.79,672.3,size_schedule,True,True,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,2019,True,2017 parameters carried forward to 2018-2019
