region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,assumption_no_change,assumption_note
Navarra,Renta Garantizada,7,1200,1200,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES22,2017,TRUE,2017 parameters carried forward to 2018-2019
Basque Country,Renta de Garantía de Ingresos,1,634.97,901.94,size_schedule,TRUE,TRUE,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts,ES21,2017,TRUE,2017 parameters carried forward to 2018-2019
Basque Country,Renta de Garantía de Ingresos,2,634.97,901.94,size_schedule,TRUE,TRUE,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts,ES21,2017,TRUE,2017 parameters carried forward to 2018-2019
Basque Country,Renta de Garantía de Ingresos,3,815.36,901.94,size_schedule,TRUE,TRUE,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts,ES21,2017,TRUE,2017 parameters carried forward to 2018-2019
Basque Country,Renta de Garantía de Ingresos,4,901.94,901.94,size_schedule,TRUE,TRUE,Table amounts used; supplements not simulated,Dato sulla RMI 2017.pdf - Cuadro 8 / Cuadro 13,Report mentions supplements; stored amounts are table amounts,ES21,2017,TRUE,2017 parameters carried forward to 2018-2019
La Rioja,Renta de Ciudadanía,1,430.27,672.3,size_schedule,TRUE,TRUE,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward,ES23,2017,TRUE,2017 parameters carried forward to 2018-2019
La Rioja,Renta de Ciudadanía,2,537.84,672.3,size_schedule,TRUE,TRUE,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward,ES23,2017,TRUE,2017 parameters carried forward to 2018-2019
La Rioja,Renta de Ciudadanía,3,618.52,672.3,size_schedule,TRUE,TRUE,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward,ES23,2017,TRUE,2017 parameters carried forward to 2018-2019
La Rioja,Renta de Ciudadanía,4,672.3,672.3,size_schedule,TRUE,TRUE,Using RC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,2017 coexistence with IMI/AIS; using RC from 2017 onward,ES23,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,1,388.51,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,2,388.51,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,3,419.84,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,4,438.64,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,5,457.44,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,6,476.24,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,7,495.04,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
Valencia,Renta Garantizada de Ciudadanía,8,513.84,623.03,size_schedule,TRUE,TRUE,Partial schedule; cap applies,Dato sulla RMI 2017.pdf - Cuadro 2,Partial schedule; cap applies,ES52,2017,TRUE,2017 parameters carried forward to 2018-2019
